stock,features,n_features,mae,mse,rmse,r2,time
Alcon_0A0D.LON,Peer_Geberit_close,1,0.006818126126402146,0.00013875373064016128,0.01177937734518091,-0.21136985919245754,0.08263564109802246
Alcon_0A0D.LON,Peer_Geberit_return,1,0.006473219730197314,0.00012606599462571308,0.011227911409773106,-0.10060137089031596,0.13560700416564941
Alcon_0A0D.LON,TOP_1_COMBINED,1,0.0018212240827227538,7.4307393756676365e-06,0.002725938256026287,0.9351269787870268,0.15457534790039062
Alcon_0A0D.LON,TOP_3_COMBINED,3,0.0020062927792855604,7.996491638400342e-06,0.002827806860165726,0.9301877585175433,0.11890363693237305
Alcon_0A0D.LON,TOP_5_COMBINED,5,0.0016588583098687357,6.424417129552295e-06,0.0025346433929750935,0.9439125331065742,0.09418773651123047
Alcon_0A0D.LON,TOP_7_COMBINED,7,0.0015218266959015462,5.3062834247789446e-06,0.002303537155068037,0.9536742415828837,0.11760473251342773
Alcon_0A0D.LON,TOP_10_COMBINED,10,0.0018990101852374719,7.788749256511354e-06,0.002790833075716166,0.9320014240581823,0.11884498596191406
Alcon_0A0D.LON,TOP_12_COMBINED,12,0.00177906318787913,6.550602398217864e-06,0.0025594144639385515,0.9428108904305154,0.1185908317565918
Alcon_0A0D.LON,TOP_15_COMBINED,15,0.0018305158031351268,6.618178991478798e-06,0.0025725821641842265,0.9422209225220092,0.13378667831420898
Alcon_0A0D.LON,TOP_20_COMBINED,20,0.002280406757818485,1.102139745022842e-05,0.0033198490101551937,0.9037792453162123,0.15997529029846191
Alcon_0A0D.LON,ALL_FEATURES_COMBINED,69,0.0025977776450276957,1.419694531288291e-05,0.0037678833995869495,0.8760555729544311,0.4086935520172119
Amrize_AMRZ,BASELINE_NONE,0,0.006823439350022363,6.480522741507241e-05,0.00805016940288044,-1.4494496573965936,0.07226705551147461
Amrize_AMRZ,open,1,0.006059768863655647,5.659370114103786e-05,0.007522878514308061,-1.1390777781373753,0.11498594284057617
Amrize_AMRZ,high,1,0.0060854678768135426,5.671028616536764e-05,0.0075306232255615895,-1.1434843539537534,0.09671974182128906
Amrize_AMRZ,low,1,0.005931273797866174,5.3285478924786604e-05,0.007299690330745997,-1.0140365723981022,0.10880541801452637
Amrize_AMRZ,close,1,0.006027645097208279,5.576969943042008e-05,0.007467911316453891,-1.1079329031284573,0.10042786598205566
